REC_ID,Species,Continent.of.Origin,Country.of.Origin,Harvest.Year,Expiration,Variety,Color,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Moisture,Quakers,Category.One.Defects,Category.Two.Defects,total_production,avg_production,Latitude,Longitude
33,Arabica,North America,Costa Rica,2015.0,12/02/16,Caturra,Blue-Green,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,0.0,0,0,0,10790100000.0,561984375.0,10.2735633,-84.0739102
34,Arabica,Africa,Ethiopia,2014.0,03/26/16,,Green,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,0.1,0,0,3,26008560000.0,1354612500.0,10.2116702,38.6521203
35,Arabica,Africa,Kenya,2013.0,05/30/15,SL34,Blue-Green,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,0.12,0,0,1,5304960000.0,276300000.0,1.4419683,38.4313975
36,Arabica,North America,United States,2012.0,04/06/13,Hawaiian Kona,,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,0.0,0,1,4,0.0,0.0,39.7837304,-100.445882
37,Arabica,North America,United States,2010.0,01/28/12,,,,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,0.0,0,2,1,0.0,0.0,39.7837304,-100.445882
38,Arabica,Africa,Ethiopia,2009.0,06/17/11,,,,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,0.1,0,0,2,26008560000.0,1354612500.0,10.2116702,38.6521203
39,Arabica,North America,United States,2014.0,03/12/16,Other,,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,0.0,0,0,0,0.0,0.0,39.7837304,-100.445882
40,Arabica,Asia,Thailand,2012.0,04/12/13,Caturra,Green,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,0.1,0,1,9,5022000000.0,261562500.0,14.8971921,100.83273
41,Arabica,South America,Brazil,2010.0,01/04/12,Yellow Bourbon,,,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,0.08,0,0,2,225248940000.0,11731715625.0,-10.3333333,-53.2
42,Arabica,South America,Brazil,2010.0,01/04/12,Yellow Bourbon,,,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,0.01,0,0,3,225248940000.0,11731715625.0,-10.3333333,-53.2
43,Arabica,Asia,Taiwan,2015.0,06/09/16,Bourbon,Green,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,0.12,0,0,0,0.0,0.0,23.5983227,120.83537694479215
44,Arabica,Africa,Kenya,2014.0,01/29/16,SL28,Bluish-Green,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,0.11,0,0,2,5304960000.0,276300000.0,1.4419683,38.4313975
45,Arabica,South America,Brazil,2011.0,12/02/12,Bourbon,Blue-Green,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,0.11,0,0,2,225248940000.0,11731715625.0,-10.3333333,-53.2
46,Arabica,Africa,Uganda,2014.0,10/01/15,,,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,0.0,0,0,0,17758440000.0,924918750.0,1.5333554,32.2166578
47,Arabica,South America,Colombia,2013.0,03/20/15,Caturra,Green,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,0.12,0,1,1,64795860000.0,3374784375.0,4.099917,-72.9088133
48,Arabica,Africa,Kenya,2013.0,02/06/15,SL28,Green,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,0.11,0,0,1,5304960000.0,276300000.0,1.4419683,38.4313975
49,Arabica,Africa,Uganda,2012.0,02/12/13,Other,Blue-Green,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,0.1,0,0,0,17758440000.0,924918750.0,1.5333554,32.2166578
50,Arabica,Africa,Ethiopia,2009.0,06/17/11,,,,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,0.01,0,0,4,26008560000.0,1354612500.0,10.2116702,38.6521203
51,Arabica,North America,United States,2009.0,05/31/11,,,,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,0.0,0,0,0,0.0,0.0,39.7837304,-100.445882
52,Arabica,North America,Guatemala,2016.0,05/16/17,Bourbon,Green,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,0.1,1,0,3,21061620000.0,1096959375.0,15.5855545,-90.345759
53,Arabica,Africa,Uganda,2013.0,06/30/15,SL14,Green,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,0.12,0,0,0,17758440000.0,924918750.0,1.5333554,32.2166578
54,Arabica,South America,Colombia,2013.0,07/26/14,Caturra,Blue-Green,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,0.0,0,1,0,64795860000.0,3374784375.0,4.099917,-72.9088133
55,Arabica,North America,Panama,2017.0,10/09/18,Gesha,Bluish-Green,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,0.08,1,0,0,842940000.0,43903125.0,8.559559,-81.1308434
56,Arabica,Africa,Ethiopia,2014.0,04/03/16,,Green,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,0.1,0,0,4,26008560000.0,1354612500.0,10.2116702,38.6521203
57,Arabica,North America,Guatemala,2012.0,07/03/13,Bourbon,Green,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,0.12,0,0,3,21061620000.0,1096959375.0,15.5855545,-90.345759
58,Arabica,North America,Guatemala,2012.0,06/05/13,Catuai,Bluish-Green,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,0.1,0,0,1,21061620000.0,1096959375.0,15.5855545,-90.345759
59,Arabica,Africa,Ethiopia,2017.0,06/23/18,Caturra,,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,0.09,4,0,7,26008560000.0,1354612500.0,10.2116702,38.6521203
60,Arabica,South America,Peru,2013.0,01/22/15,,Green,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,0.1,0,4,6,15952860000.0,830878125.0,-6.8699697,-75.0458515
61,Arabica,Oceania,Papua New Guinea,2012.0,10/25/13,,Bluish-Green,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,0.12,0,0,1,5409360000.0,281737500.0,-5.6816069,144.2489081
62,Arabica,North America,El Salvador,2013.0,03/18/14,Bourbon,Blue-Green,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,0.1,0,0,3,8462700000.0,440765625.0,13.8000382,-88.9140683
63,Arabica,North America,El Salvador,2012.0,01/12/14,Bourbon,,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,0.11,0,0,0,8462700000.0,440765625.0,13.8000382,-88.9140683
64,Arabica,North America,United States,2012.0,04/06/13,Hawaiian Kona,,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,0.0,0,0,1,0.0,0.0,39.7837304,-100.445882
65,Arabica,North America,Panama,2014.0,05/22/16,Caturra,,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,0.09,0,2,2,842940000.0,43903125.0,8.559559,-81.1308434
66,Arabica,Africa,Kenya,2014.0,05/22/16,SL28,Green,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,0.1,0,0,3,5304960000.0,276300000.0,1.4419683,38.4313975
67,Arabica,Africa,Ethiopia,2015.0,03/30/16,Other,Green,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,0.12,0,0,7,26008560000.0,1354612500.0,10.2116702,38.6521203
68,Arabica,Africa,Uganda,2013.0,06/26/15,SL14,Green,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,0.12,0,0,1,17758440000.0,924918750.0,1.5333554,32.2166578
69,Arabica,North America,Guatemala,2013.0,02/26/14,Bourbon,Green,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,0.11,0,0,1,21061620000.0,1096959375.0,15.5855545,-90.345759
70,Arabica,Africa,Ethiopia,2015.0,03/30/16,,Green,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,0.1,0,0,18,26008560000.0,1354612500.0,10.2116702,38.6521203
71,Arabica,Africa,Uganda,2013.0,06/26/15,SL14,Green,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,0.12,0,0,5,17758440000.0,924918750.0,1.5333554,32.2166578
72,Arabica,North America,United States,2012.0,04/06/13,Hawaiian Kona,,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,0.0,0,4,6,0.0,0.0,39.7837304,-100.445882
73,Arabica,South America,Brazil,2011.0,12/02/12,Bourbon,Blue-Green,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,0.11,0,0,1,225248940000.0,11731715625.0,-10.3333333,-53.2
74,Arabica,North America,El Salvador,2009.0,05/31/11,,,,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,0.01,0,0,0,8462700000.0,440765625.0,13.8000382,-88.9140683
75,Arabica,Asia,China,2015.0,04/06/17,Catimor,Green,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,0.1,0,0,0,0.0,0.0,35.000074,104.999927
76,Arabica,North America,Guatemala,2014.0,05/22/16,Pacamara,Green,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,0.11,0,0,1,21061620000.0,1096959375.0,15.5855545,-90.345759
77,Arabica,North America,Costa Rica,2014.0,05/01/15,Caturra,Bluish-Green,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,0.0,0,0,0,10790100000.0,561984375.0,10.2735633,-84.0739102
78,Arabica,North America,Costa Rica,2014.0,05/01/15,Caturra,Bluish-Green,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,0.1,0,0,2,10790100000.0,561984375.0,10.2735633,-84.0739102
79,Arabica,Africa,Kenya,2012.0,04/19/14,SL34,Green,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,0.0,0,0,2,5304960000.0,276300000.0,1.4419683,38.4313975
80,Arabica,Africa,Kenya,2012.0,03/12/14,SL34,Green,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,0.0,0,0,6,5304960000.0,276300000.0,1.4419683,38.4313975
81,Arabica,Africa,Ethiopia,2009.0,06/17/11,,,,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,0.05,0,0,2,26008560000.0,1354612500.0,10.2116702,38.6521203
82,Arabica,Africa,Ethiopia,2009.0,06/17/11,Typica,,,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,0.1,0,0,3,26008560000.0,1354612500.0,10.2116702,38.6521203
83,Arabica,North America,Guatemala,2016.0,04/27/17,Bourbon,Green,,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,0.1,2,0,2,21061620000.0,1096959375.0,15.5855545,-90.345759
84,Arabica,South America,Colombia,2015.0,04/07/16,Caturra,Green,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,0.11,0,0,0,64795860000.0,3374784375.0,4.099917,-72.9088133
85,Arabica,South America,Colombia,2014.0,01/17/15,Caturra,Green,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,0.12,0,0,2,64795860000.0,3374784375.0,4.099917,-72.9088133
86,Arabica,Asia,Indonesia,2012.0,11/26/13,Sumatra Lintong,Green,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,0.11,0,0,3,46214640000.0,2407012500.0,-2.4833826,117.8902853
87,Arabica,North America,Guatemala,2012.0,01/17/13,Caturra,,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,0.0,0,0,7,21061620000.0,1096959375.0,15.5855545,-90.345759
88,Arabica,Africa,Ethiopia,2016.0,08/09/17,Other,Green,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,0.11,1,0,8,26008560000.0,1354612500.0,10.2116702,38.6521203
89,Arabica,South America,Colombia,2015.0,08/17/16,Caturra,,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,0.0,0,0,0,64795860000.0,3374784375.0,4.099917,-72.9088133
90,Arabica,Africa,Ethiopia,2014.0,10/07/15,,Green,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,0.1,0,2,7,26008560000.0,1354612500.0,10.2116702,38.6521203
91,Arabica,North America,United States,2014.0,03/10/15,Hawaiian Kona,Bluish-Green,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,0.11,0,2,2,0.0,0.0,39.7837304,-100.445882
92,Arabica,South America,Colombia,2012.0,03/16/13,Caturra,Green,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,0.11,0,0,8,64795860000.0,3374784375.0,4.099917,-72.9088133
93,Arabica,North America,United States,2010.0,12/27/11,,,,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,0.01,0,1,7,0.0,0.0,39.7837304,-100.445882
94,Arabica,Africa,Ethiopia,2010.0,06/17/11,,,,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,0.0,0,0,5,26008560000.0,1354612500.0,10.2116702,38.6521203
95,Arabica,North America,United States,,05/17/11,,,,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,0.0,0,0,0,0.0,0.0,39.7837304,-100.445882
96,Arabica,Africa,Uganda,2016.0,07/24/18,SL14,Green,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,0.11,0,0,1,17758440000.0,924918750.0,1.5333554,32.2166578
97,Arabica,South America,Colombia,2016.0,02/15/18,Caturra,Green,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,0.0,0,0,3,64795860000.0,3374784375.0,4.099917,-72.9088133
98,Arabica,North America,Costa Rica,2016.0,01/30/18,Catuai,Green,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,0.12,1,1,1,10790100000.0,561984375.0,10.2735633,-84.0739102
99,Arabica,North America,Mexico,2015.0,09/21/17,Typica,Green,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,0.09,0,0,3,23560560000.0,1227112500.0,19.4326296,-99.1331785
100,Arabica,Africa,Kenya,2015.0,05/07/17,,Green,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,0.11,5,0,7,5304960000.0,276300000.0,1.4419683,38.4313975
101,Arabica,Africa,Kenya,2012.0,04/19/14,SL34,Green,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,0.0,0,0,5,5304960000.0,276300000.0,1.4419683,38.4313975
102,Arabica,South America,Brazil,2012.0,02/28/13,Mundo Novo,Green,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,0.12,0,0,3,225248940000.0,11731715625.0,-10.3333333,-53.2
103,Arabica,North America,Mexico,2010.0,04/05/12,Pacamara,,,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,0.0,0,0,0,23560560000.0,1227112500.0,19.4326296,-99.1331785
104,Arabica,North America,United States,,02/24/12,,,,7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,0.0,0,0,1,0.0,0.0,39.7837304,-100.445882
105,Arabica,North America,Guatemala,2009.0,09/07/11,,,,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,0.04,0,0,1,21061620000.0,1096959375.0,15.5855545,-90.345759
106,Arabica,South America,Colombia,2016.0,11/25/17,Caturra,,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,0.0,6,1,2,64795860000.0,3374784375.0,4.099917,-72.9088133
107,Arabica,South America,Colombia,2015.0,10/25/16,Caturra,Green,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,0.12,0,0,1,64795860000.0,3374784375.0,4.099917,-72.9088133
108,Arabica,Asia,Taiwan,2015.0,06/08/16,Typica,Green,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,0.11,0,0,0,0.0,0.0,23.5983227,120.83537694479215
109,Arabica,Africa,Tanzania,2014.0,12/12/15,Other,Green,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,0.12,0,0,2,4424040000.0,230418750.0,-6.5247123,35.7878438
110,Arabica,South America,Colombia,2012.0,12/11/13,Caturra,Green,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,0.11,0,0,3,64795860000.0,3374784375.0,4.099917,-72.9088133
111,Arabica,North America,Mexico,2012.0,07/11/13,Typica,,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,0.11,0,0,0,23560560000.0,1227112500.0,19.4326296,-99.1331785
112,Arabica,South America,Brazil,2011.0,12/22/12,Bourbon,Green,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,0.11,0,0,2,225248940000.0,11731715625.0,-10.3333333,-53.2
113,Arabica,South America,Brazil,2011.0,12/02/12,Catuai,Green,Natural / Dry,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,0.12,0,0,2,225248940000.0,11731715625.0,-10.3333333,-53.2
114,Arabica,Africa,Kenya,2009.0,08/26/11,,,,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,0.06,0,1,9,5304960000.0,276300000.0,1.4419683,38.4313975
115,Arabica,Asia,Taiwan,2016.0,05/18/17,Typica,Green,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,0.0,0,0,0,0.0,0.0,23.5983227,120.83537694479215
116,Arabica,Africa,Uganda,2013.0,06/30/15,SL14,Green,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,0.12,0,0,1,17758440000.0,924918750.0,1.5333554,32.2166578
117,Arabica,North America,United States,2012.0,04/06/13,Hawaiian Kona,,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8.0,10.0,10.0,10.0,0.0,0,3,15,0.0,0.0,39.7837304,-100.445882
118,Arabica,Africa,Ethiopia,2009.0,06/17/11,,,,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,0.1,0,0,2,26008560000.0,1354612500.0,10.2116702,38.6521203
119,Arabica,Africa,Ethiopia,2009.0,06/17/11,,,,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,0.1,0,0,4,26008560000.0,1354612500.0,10.2116702,38.6521203
120,Arabica,Asia,Thailand,2015.0,06/27/17,Caturra,Green,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,0.12,0,0,0,5022000000.0,261562500.0,14.8971921,100.83273
121,Arabica,Africa,Kenya,2014.0,06/01/16,SL34,Green,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,0.13,0,0,0,5304960000.0,276300000.0,1.4419683,38.4313975
122,Arabica,North America,Honduras,2014.0,04/25/15,Catuai,Green,Washed / Wet,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,0.11,0,0,4,20018160000.0,1042612500.0,15.2572432,-86.0755145
